,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
101,HTH,Hilltop Holdings Inc.,,32.28 +1.27 (+4.10%),1.27,+4.10%,423270,343362,2.097B,18.55,-1.93%,
102,CORZ,"Core Scientific, Inc.",,12.71 +0.50 (+4.10%),0.5,+4.10%,7.675M,11.815M,3.549B,-,259.48%,
103,RXRX,"Recursion Pharmaceuticals, Inc.",,7.92 +0.31 (+4.07%),0.31,+4.07%,26.401M,15.165M,3.095B,-,-20.59%,
104,FND,"Floor & Decor Holdings, Inc.",,103.45 +4.03 (+4.05%),4.03,+4.05%,1.255M,1.64M,11.093B,57.47,-7.98%,
105,AUR,"Aurora Innovation, Inc.",,7.19 +0.28 (+4.05%),0.28,+4.05%,9.852M,13.485M,12.355B,-,120.45%,
106,RNA,"Avidity Biosciences, Inc.",,34.68 +1.34 (+4.02%),1.34,+4.02%,1.202M,1.314M,4.138B,-,163.26%,
107,VCEL,Vericel Corporation,,61.80 +2.37 (+3.99%),2.37,+3.99%,535702,412088,3.05B,772.50,33.53%,
108,IESC,"IES Holdings, Inc.",,223.21 +8.49 (+3.95%),8.49,+3.95%,382141,204215,4.466B,20.78,144.76%,
109,CCOI,"Cogent Communications Holdings, Inc.",,79.18 +3.00 (+3.94%),3.0,+3.94%,265006,413100,3.882B,114.75,2.13%,
110,AGI,Alamos Gold Inc.,,22.33 +0.84 (+3.91%),0.84,+3.91%,2.732M,2.316M,9.385B,37.22,73.96%,
111,SITM,SiTime Corporation,,222.99 +8.38 (+3.90%),8.38,+3.90%,409696,224130,5.209B,-,87.57%,
112,KMPR,Kemper Corporation,,68.55 +2.55 (+3.86%),2.55,+3.86%,684304,327035,4.39B,16.32,14.93%,
113,FORM,"FormFactor, Inc.",,41.12 +1.52 (+3.84%),1.52,+3.84%,1.168M,806891,3.185B,23.77,3.83%,
114,SATS,EchoStar Corporation,,28.45 +1.04 (+3.79%),1.04,+3.79%,1.128M,1.828M,8.14B,-,107.92%,
115,NVO,Novo Nordisk A/S,,85.73 +3.11 (+3.76%),3.11,+3.76%,13.238M,7.951M,382.357B,29.26,-30.35%,
116,SOUHY,South32 Limited,,11.08 +0.40 (+3.75%),0.4,+3.75%,96608,97223,9.976B,-,-0.58%,
117,COMP,"Compass, Inc.",,7.51 +0.27 (+3.73%),0.27,+3.73%,4.874M,4.525M,4.143B,-,94.29%,
118,TECH,Bio-Techne Corporation,,75.25 +2.70 (+3.72%),2.7,+3.72%,3.065M,919171,11.957B,79.21,8.57%,
119,NEM,Newmont Corporation,,44.96 +1.61 (+3.71%),1.61,+3.71%,14.07M,9.983M,51.185B,-,28.14%,
120,PTON,"Peloton Interactive, Inc.",,7.58 +0.27 (+3.69%),0.27,+3.69%,13.626M,12.799M,2.891B,-,66.74%,
121,PCG,PG&E Corporation,,15.74 +0.56 (+3.69%),0.56,+3.69%,27.021M,22.181M,34.526B,12.30,-7.62%,
122,CNK,"Cinemark Holdings, Inc.",,30.55 +1.08 (+3.66%),1.08,+3.66%,4.335M,2.311M,3.738B,18.63,101.87%,
123,XPO,"XPO, Inc.",,136.31 +4.81 (+3.66%),4.81,+3.66%,2.509M,1.513M,15.867B,44.26,10.37%,
124,INGM,Ingram Micro Holding Corporation,,24.67 +0.87 (+3.66%),0.87,+3.66%,271498,348072,5.793B,18.27,-5.65%,
125,IREN,IREN Limited,,11.07 +0.39 (+3.65%),0.39,+3.65%,15.355M,17.733M,2.374B,-,159.22%,
126,AU,AngloGold Ashanti plc,,31.98 +1.12 (+3.63%),1.12,+3.63%,2.731M,3.219M,16.102B,24.05,74.89%,
127,GRP-UN,Granite Real Estate Investment Trust,,48.80 +1.69 (+3.59%),1.69,+3.59%,32104,9981,3.062B,14.40,-19.12%,
128,AAON,"AAON, Inc.",,114.90 +3.97 (+3.58%),3.97,+3.58%,886642,558791,9.339B,50.17,52.78%,
129,KGC,Kinross Gold Corporation,,11.88 +0.41 (+3.57%),0.41,+3.57%,23.727M,18.578M,14.601B,19.80,112.43%,
130,OTTR,Otter Tail Corporation,,78.88 +2.70 (+3.54%),2.7,+3.54%,192680,238935,3.299B,10.90,-19.66%,
131,STRL,"Sterling Infrastructure, Inc.",,143.48 +4.91 (+3.54%),4.91,+3.54%,373668,425693,4.407B,24.32,72.21%,
132,NUVL,"Nuvalent, Inc.",,88.96 +3.04 (+3.54%),3.04,+3.54%,352829,465242,6.321B,-,7.70%,
133,GRFS,"Grifols, S.A.",,7.06 +0.24 (+3.52%),0.24,+3.52%,538645,1.036M,5.427B,28.24,-18.77%,
